time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,RedbackElementAverageValue,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
84.011,-1.207766291786e-16,1.2830353135622e-20,0,0,-104790764.90028,-0.0054833744570496,0,94790764.903291,-2.7001309743802e-06,293.15,293.15,-0.005486074588024
84.511,-2.6432270881871e-15,-6.6560258503781e-15,0,0,-103834711.26225,-0.0054319737238217,0,93834711.265234,-2.7001309743802e-06,293.15,293.15,-0.0054346738547961
85.011,-4.4520601118251e-15,-1.0099878828778e-14,0,0,-102878706.76355,-0.0053805756324934,0,92878706.766511,-2.7001309743802e-06,293.15,293.15,-0.0053832757634678
85.511,-5.9395043284269e-15,-1.0103922939167e-14,0,0,-101922751.39916,-0.0053291801827964,0,91922751.4022,-2.7001309743802e-06,293.15,293.15,-0.0053318803137708
86.011,-7.206769365567e-15,-1.0096039570953e-14,0,0,-100966845.16394,-0.0052777873744493,0,90966845.166859,-2.7001309743802e-06,293.15,293.15,-0.0052804875054237
86.511,-8.6759578211412e-15,-1.3312058529181e-14,0,0,-100010988.05293,-0.0052263972071906,0,90010988.055828,-2.7001309743802e-06,293.15,293.15,-0.0052290973381649
87.011,-1.0905728586874e-14,-1.8363070734374e-14,0,0,-99055180.061069,-0.0051750096807459,0,89055180.06394,-2.7001309743802e-06,293.15,293.15,-0.0051777098117203
87.511,-1.3220099684494e-14,-2.0198632118362e-14,0,0,-98099421.183272,-0.0051236247948424,0,88099421.186119,-2.7001309743802e-06,293.15,293.15,-0.0051263249258168
88.011,-1.5735800245085e-14,-2.0199847259461e-14,0,0,-97143711.414516,-0.0050722425492101,0,87143711.417345,-2.7001309743802e-06,293.15,293.15,-0.0050749426801845
88.511,-1.710510324129e-14,-2.0204339245603e-14,0,0,-96188050.749751,-0.0050208629435773,0,86188050.752562,-2.7001309743802e-06,293.15,293.15,-0.0050235630745517
89.011,-1.8600077277745e-14,-2.0195509416971e-14,0,0,-95232439.183936,-0.0049694859776728,0,85232439.186714,-2.7001309743802e-06,293.15,293.15,-0.0049721861086472
89.511,-3.6116441929542e-13,-3.6388642969252e-13,0,0,-94276876.71202,-0.0049181116512253,0,84276876.714772,-2.7001309743802e-06,293.15,293.15,-0.0049208117821997
90.011,-3.5973096670068e-13,-3.6507610808517e-13,0,0,-93321363.328961,-0.0048667399639638,0,83321363.331695,-2.7001309743802e-06,293.15,293.15,-0.0048694400949382
90.511,-3.5758727647022e-13,-3.6305389733752e-13,0,0,-92365899.029717,-0.0048153709156169,0,82365899.032426,-2.7001309743802e-06,293.15,293.15,-0.0048180710465913
91.011,-3.551814387276e-13,-3.5919509100374e-13,0,0,-91410483.809239,-0.0047640045059135,0,81410483.811928,-2.7001309743802e-06,293.15,293.15,-0.0047667046368879
91.511,1.2597239269521e-14,1.0100965639228e-14,0,0,-90455117.66249,-0.0047126407345826,0,80455117.665155,-2.7001309743802e-06,293.15,293.15,-0.004715340865557
92.011,1.1436076073452e-14,6.8876824433037e-15,0,0,-89499800.584428,-0.0046612796013531,0,79499800.587071,-2.7001309743802e-06,293.15,293.15,-0.0046639797323275
92.511,0,0,0,0,-89499800.584428,-0.0046612796013531,0,79499800.587071,-2.7001309743802e-06,293.15,293.15,-0.0046639797323275
93.011,1.2409672609987e-14,1.0099895681139e-14,0,0,-90455117.662488,-0.0047126407345825,0,80455117.665152,-2.7001309743802e-06,293.15,293.15,-0.0047153408655569
