time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
82.5,3734.4760633323,3742.5426800724,1480.1382281667,1479.9731962494,-0.0084013677797963,2,139151826.72727,-4.7694952230522e-05,293.4196198167,293.82690019824,-0.0084490627320269
83,4099.6440476131,4109.3191160238,1624.6482703097,1624.4309907145,-0.0084466502447504,2,139940647.26683,-5.3837187343363e-05,293.44600362037,293.89317545071,-0.0085004874320937
83.5,4484.5103708139,4496.0289587403,1776.9084842251,1776.6253195377,-0.0084913959504406,2,140720117.46003,-6.0518826355871e-05,293.47381417338,293.96304142025,-0.0085519147767964
84,4888.9034288704,4902.5202198648,1936.8436370541,1936.4781705586,-0.0085355814068827,2,141489828.11135,-6.7763359524244e-05,293.5030395595,294.03646914295,-0.0086033447664069
84.5,5312.5635263802,5328.5523190874,2104.3433666305,2103.8760138308,-0.0085791837503941,2,142249380.93546,-7.5593650803142e-05,293.53366149515,294.11341366756,-0.0086547774011973
85,5755.1432272464,5773.7961049911,2279.2623947771,2278.6699948993,-0.0086221808434499,2,142998390.29669,-8.4031837989744e-05,293.56565534688,294.19381408576,-0.0087062126814396
85.5,6216.2084734766,6237.8346334325,2461.4210522538,2460.6764447535,-0.0086645513705513,2,143736484.87905,-9.3099236854835e-05,293.5989902041,294.27759370029,-0.0087576506074061
86,6695.2404724541,6720.1647108712,2650.6061141499,2649.6777062149,-0.0087062749293316,2,144463309.27334,-0.00010281625003736,293.63362900717,294.36466033183,-0.008809091179369
86.5,7191.6383409599,7220.1991986491,2846.571939617,2845.4232715978,-0.0087473321161662,2,145178525.46845,-0.00011320228143437,293.6695287302,294.45490676279,-0.0088605343976005
87,7704.7224821786,7737.2700624024,3049.0419049878,3047.6312214868,-0.0087877046056107,2,145881814.23517,-0.00012427565676233,293.70664061699,294.54821131514,-0.008911980262373
87.5,8233.7386609704,8270.6321398766,3257.7101146584,3255.9899496545,-0.0088273752230579,2,146572876.39187,-0.00013605355090084,293.74491046785,294.64443855654,-0.0089634287739588
88,8777.8627313503,8819.4675889163,3472.2433697237,3470.1601546122,-0.0088663280100753,2,147251433.9427,-0.00014855192255494,293.78427897416,294.74344012652,-0.0090148799326302
88.5,9336.2059604868,9382.8909672721,3692.2833703674,3689.7770740133,-0.0089045482819689,2,147917231.08036,-0.00016178545669082,293.82468209679,294.84505567525,-0.0090663337386597
89,9907.8208839116,9959.9548855357,3917.4491245039,3914.4529344868,-0.0089420226772086,2,148570035.04705,-0.00017576751511131,293.86605148379,294.94911390086,-0.0091177901923199
89.5,10491.707620736,10549.656167724,4147.3395322268,4143.7795861805,-0.0089787391984362,2,149209636.84886,-0.00019051009544703,293.90831492241,295.0554336759,-0.0091692492938832
90,11086.820568662,11150.942443897,4381.5361133218,4377.3312888311,-0.0090146872448802,2,149835851.82045,-0.0002060237987422,293.9513968199,295.16382524796,-0.0092207110436224
90.5,11692.075397362,11762.719096553,4619.6058434507,4614.6676142237,-0.0090498576360886,2,150448520.03842,-0.00022231780572128,293.99521870675,295.27409149744,-0.0092721754418099
91,12306.356253294,12383.85647601,4861.1040636821,4855.3364287585,-0.0090842426269922,2,151047506.5838,-0.00023939986172643,294.03969975692,295.38602924225,-0.0093236424887186
91.5,12928.523088802,13013.197297882,5105.577427799,5098.8769193882,-0.0091178359143971,2,151632701.65506,-0.00025727627022416,294.08475731834,295.49943056893,-0.0093751121846213
92,13557.419029135,13649.564135369,5352.5668522541,5344.8226264117,-0.0091506326350985,2,152204020.53532,-0.00027595189469226,294.13030744703,295.6140841763,-0.0094265845297908
92.5,14191.877692604,14291.766919174,5601.6104347236,5592.7044475931,-0.0091826293558845,2,152761403.41817,-0.00029543016861537,294.17626543977,295.72977671691,-0.0094780595244999
93,14830.730381644,14938.610359202,5852.2463089156,5842.0535796917,-0.009213824055781,2,153304815.09842,-0.00031571311324074,294.22254635825,295.84629412013,-0.0095295371690217
93.5,15472.813069457,15588.901207557,6104.0154054798,6092.4043655455,-0.0092442161009503,2,153834244.53479,-0.00033680136267896,294.2690655392,295.963422881,-0.0095810174636292
94,16116.973113084,16241.455288068,6356.4640915383,6343.2970175518,-0.0092738062127189,2,154349704.29297,-0.00035869419587664,294.31573908678,296.08095130784,-0.0096325004085956
94.5,16762.075626078,16895.104218538,6609.1466644169,6594.2801916321,-0.0093025964292613,2,154851229.87819,-0.00038138957493269,294.36248433981,296.19867070652,-0.009683986004194
95,17407.009458797,17548.701766626,6861.627678458,6844.9133889032,-0.0093305900615037,2,155338878.96698,-0.00040488418919385,294.40922031244,296.31637650072,-0.0097354742506976
95.5,18050.692737508,18201.129782611,7113.484087313,7094.7691661155,-0.0093577916438481,2,155812730.54885,-0.00042917350453172,294.4558681026,296.4338692719,-0.0097869651483799
96,18692.077924509,18851.303663758,7364.3071877284,7343.4351396804,-0.0093842068803318,2,156272883.98836,-0.00045425181718229,294.50235126677,296.5509557154,-0.0098384586975141
96.5,19330.156369372,19498.177312092,7613.7043544553,7590.5157718123,-0.0094098425868571,2,156719458.01879,-0.00048011231151684,294.54859615738,296.66744950264,-0.0098899548983739
